127.0.0.1 - - [07/Mar/2021:12:20:32 +0100] "GET /runserver-1.5.8/ HTTP/1.1" 200 713
127.0.0.1 - - [07/Mar/2021:12:20:33 +0100] "GET /runserver-1.5.8/style.css HTTP/1.1" 200 487
127.0.0.1 - - [07/Mar/2021:12:20:33 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [07/Mar/2021:12:20:35 +0100] "GET /runserver-1.5.8/newsession.xhtml HTTP/1.1" 200 20569
127.0.0.1 - - [07/Mar/2021:12:20:35 +0100] "GET /runserver-1.5.8/style.css HTTP/1.1" 200 487
127.0.0.1 - - [07/Mar/2021:12:20:35 +0100] "GET /profilesserver-1.5.8/websocket/liststream HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:20:35 +0100] "GET /partiesserver-1.5.8/available HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:20:54 +0100] "GET /partiesserver-1.5.8/run/group16party-1.5.8-jar-with-dependencies HTTP/1.1" 200 76
192.168.2.12 - - [07/Mar/2021:12:20:54 +0100] "GET /partiesserver-1.5.8/party/party1_192_168_2_12 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:20:54 +0100] "GET /partiesserver-1.5.8/run/group19party-1.5.8-jar-with-dependencies HTTP/1.1" 200 76
192.168.2.12 - - [07/Mar/2021:12:20:54 +0100] "GET /partiesserver-1.5.8/party/party2_192_168_2_12 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:20:55 +0100] "POST /runserver-1.5.8/run HTTP/1.1" 200 5
192.168.2.12 - - [07/Mar/2021:12:20:55 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs1 HTTP/1.1" 101 -
192.168.2.12 - - [07/Mar/2021:12:20:55 +0100] "GET /profilesserver-1.5.8/websocket/get/jobs/jobs2 HTTP/1.1" 101 -
127.0.0.1 - - [07/Mar/2021:12:20:56 +0100] "HEAD /runserver-1.5.8/log/SAOP1.json HTTP/1.1" 200 -
